Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
O14176	Q9C0W2	PRP40	Q9C0W2	SPAC4D7.13	PI026|SPBP22H7.05C	SPAC4D7.13	SPBP22H7.05C	26771498:0018:HT
O14176	Q9HGP0	PRP40	PVG4	SPAC4D7.13	SPBC317.01	SPAC4D7.13	SPBC317.01	26771498:0018:HT
O14176	Q9URY2	PRP40	ALP7	SPAC4D7.13	SPAC890.02C	SPAC4D7.13	SPAC890.02C	26771498:0018:HT
O14176	Q9UT46	PRP40	MOC3	SPAC4D7.13	SPAC821.07C	SPAC4D7.13	SPAC821.07C	26771498:0018:HT
O14182	P78920	MRPS12	P78920	SPAC4F8.06	SPBC2D10.11C	SPAC4F8.06	SPBC2D10.11C	26771498:0018:HT
O14187	O43071	SPP42	PRP17	SPAC4F8.12C	SPBC6B1.10	SPAC4F8.12C	SPBC6B1.10	26292707:0114:LC
O14187	O74772	SPP42	CWF14	SPAC4F8.12C	SPBC24C6.11	SPAC4F8.12C	SPBC24C6.11	26292707:0114:LC
O14187	O94316	SPP42	CWF10	SPAC4F8.12C	SPBC215.12	SPAC4F8.12C	SPBC215.12	24014766:0401:LC|26292707:0114:LC
O14187	O94620	SPP42	CWF17	SPAC4F8.12C	SPBC1289.11	SPAC4F8.12C	SPBC1289.11	26292707:0114:LC
O14187	P39964	SPP42	CDC5	SPAC4F8.12C	SPAC644.12	SPAC4F8.12C	SPAC644.12	10409726:0007:LC|10409726:0004:LC|24014766:0401:LC|26292707:0114:LC
O14187	P78794	SPP42	CWF15	SPAC4F8.12C	SPBC337.06C	SPAC4F8.12C	SPBC337.06C	26292707:0114:LC
O14187	P87126	SPP42	CWF2	SPAC4F8.12C	SPAC3A12.11C	SPAC4F8.12C	SPAC3A12.11C	26292707:0114:LC
O14187	Q09882	SPP42	PRP45	SPAC4F8.12C	SPCC188.11|SPCC584.08	SPAC4F8.12C	SPCC188.11	26292707:0114:LC
O14187	Q09909	SPP42	CWF19	SPAC4F8.12C	SPAC30D11.09	SPAC4F8.12C	SPAC30D11.09	26292707:0114:LC
O14187	Q9USZ3	SPP42	SME1	SPAC4F8.12C	SPBC11G11.06C	SPAC4F8.12C	SPBC11G11.06C	26292707:0114:LC
O14188	Q09196	RNG2	CDC4	SPAC4F8.13C	SPAP8A3.08	SPAC4F8.13C	SPAP8A3.08	26771498:0018:HT|21422229:0018:LC
O14192	O14192	O14192	O14192	SPAC56E4.03	SPAC56E4.03	SPAC56E4.03	SPAC56E4.03	26771498:0018:HT
O14193	Q10109	MUG69	LEM2	SPAC56E4.05	SPAC18G6.10	SPAC56E4.05	SPAC18G6.10	33109728:0090:HT
O14198	O60104	MED18	MED7	SPAC5D6.05	SPBC14F5.08	SPAC5D6.05	SPBC14F5.08	18310102:0401:LC|10625684:0401:LC
O14198	O94646	MED18	MED8	SPAC5D6.05	SPBC21.04	SPAC5D6.05	SPBC21.04	18381891:0114:LC|18310102:0401:LC|23123849:0114:LC|28241144:0114:LC|28467824:0114:LC|18381891:0096:LC
O14198	P36594	MED18	RPB1	SPAC5D6.05	SPBC28F2.12	SPAC5D6.05	SPBC28F2.12	28241144:0114:LC
O14198	P87306	MED18	MED17	SPAC5D6.05	SPBC31F10.04C	SPAC5D6.05	SPBC31F10.04C	23123849:0114:LC|11572939:0091:LC|28241144:0114:LC|28467824:0114:LC
O14198	P87310	MED18	MED10	SPAC5D6.05	SPBC31F10.09C	SPAC5D6.05	SPBC31F10.09C	11572939:0091:LC|10625684:0091:LC|28467824:0071:LC|28467824:0114:LC
O14198	Q10317	MED18	MED20	SPAC5D6.05	SPAC17G8.05	SPAC5D6.05	SPAC17G8.05	28241144:0114:LC|28467824:0114:LC
O14198	Q9P6Q0	MED18	MED11	SPAC5D6.05	SPAC644.10	SPAC5D6.05	SPAC644.10	23123849:0226:LC|23123849:0071:LC|28241144:0114:LC|28467824:0114:LC|23123849:0114:LC
O14198	Q9US45	MED18	MED6	SPAC5D6.05	SPAC1002.15C	SPAC5D6.05	SPAC1002.15C	28241144:0114:LC
O14207	P42656	MUS7	RAD24	SPAC6B12.02C	SPAC8E11.02C	SPAC6B12.02C	SPAC8E11.02C	26771498:0090:HT|26771498:0018:HT
O14214	O14214	TRM10	TRM10	SPAC6B12.09	SPAC6B12.09	SPAC6B12.09	SPAC6B12.09	24081582:0114:LC
O14216	P32372	DRC1	RAD4	SPAC6B12.11	SPAC23C4.18C	SPAC6B12.11	SPAC23C4.18C	21945095:0018:LC|11937031:0018:LC|21593208:0018:LC
O14220	Q09908	MEU26	PHF2	SPAC6B12.16	SPAC30D11.08C	SPAC6B12.16	SPAC30D11.08C	26771498:0018:HT
O14223	O14243	TVP15	SNX4	SPAC6F12.04	SPAC6F6.12	SPAC6F12.04	SPAC6F6.12	26771498:0018:HT
O14223	O42869	TVP15	O42869	SPAC6F12.04	SPAC3G9.05	SPAC6F12.04	SPAC3G9.05	26771498:0018:HT
O14223	O43013	TVP15	O43013	SPAC6F12.04	SPBC2G2.14	SPAC6F12.04	SPBC2G2.14	26771498:0018:HT
O14223	O59858	TVP15	GPX1	SPAC6F12.04	SPBC32F12.03C	SPAC6F12.04	SPBC32F12.03C	26771498:0018:HT
O14223	O60065	TVP15	PEX14	SPAC6F12.04	SPBC13G1.03C	SPAC6F12.04	SPBC13G1.03C	26771498:0018:HT
O14223	O74820	TVP15	ERG28	SPAC6F12.04	SPBC337.09	SPAC6F12.04	SPBC337.09	26771498:0018:HT
O14223	O94699	TVP15	O94699	SPAC6F12.04	SPBC83.16C	SPAC6F12.04	SPBC83.16C	26771498:0018:HT
O14223	P49373	TVP15	TFS1	SPAC6F12.04	SPAC20H4.03C	SPAC6F12.04	SPAC20H4.03C	26771498:0018:HT
O14223	P53694	TVP15	RTN1	SPAC6F12.04	SPBC31A8.01C|SPBC651.13C	SPAC6F12.04	SPBC31A8.01C	26771498:0018:HT
O14223	P87216	TVP15	VIP1	SPAC6F12.04	SPAC10F6.06	SPAC6F12.04	SPAC10F6.06	26771498:0018:HT
O14223	Q01475	TVP15	SAR1	SPAC6F12.04	SPBC31F10.06C	SPAC6F12.04	SPBC31F10.06C	26771498:0090:HT|26771498:0018:HT
O14223	Q10078	TVP15	PPK13	SPAC6F12.04	SPAC3H1.13	SPAC6F12.04	SPAC3H1.13	26771498:0018:HT
O14223	Q10109	TVP15	LEM2	SPAC6F12.04	SPAC18G6.10	SPAC6F12.04	SPAC18G6.10	33109728:0090:HT
O14223	Q10149	TVP15	Q10149	SPAC6F12.04	SPAC1D4.02C	SPAC6F12.04	SPAC1D4.02C	26771498:0018:HT
O14223	Q10322	TVP15	DMA1	SPAC6F12.04	SPAC17G8.10C	SPAC6F12.04	SPAC17G8.10C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14223	Q9URX8	TVP15	Q9URX8	SPAC6F12.04	SPAC890.06	SPAC6F12.04	SPAC890.06	26771498:0018:HT
O14223	Q9UTB4	TVP15	MSS51	SPAC6F12.04	SPAC25B8.04C	SPAC6F12.04	SPAC25B8.04C	26771498:0018:HT
O14224	O42851	O14224	O42851	SPAC6F12.06	SPAC23A1.14C	SPAC6F12.06	SPAC23A1.14C	26771498:0018:HT
O14225	P78920	TOM20	P78920	SPAC6F12.07	SPBC2D10.11C	SPAC6F12.07	SPBC2D10.11C	26771498:0018:HT
O14225	Q9P7F8	TOM20	GET3	SPAC6F12.07	SPAC1142.06	SPAC6F12.07	SPAC1142.06	26771498:0018:HT
O14227	O74465	RDP1	HRR1	SPAC6F12.09	SPCC1739.03	SPAC6F12.09	SPCC1739.03	22733737:0018:LC|22474355:0018:LC
O14227	O74518	RDP1	CID12	SPAC6F12.09	SPCC663.12	SPAC6F12.09	SPCC663.12	22733737:0018:LC|22474355:0018:LC
O14227	O94687	RDP1	TAS3	SPAC6F12.09	SPBC83.03C	SPAC6F12.09	SPBC83.03C	22733737:0018:LC|15607976:0019:LC|22474355:0018:LC
O14227	Q10103	RDP1	CHP1	SPAC6F12.09	SPAC18G6.02C	SPAC6F12.09	SPAC18G6.02C	20211136:0007:LC|20211136:0004:LC|15607976:0004:LC|15607976:0019:LC
O14230	O59703	FPS1	SPO9	SPAC6F12.13C	SPBC36.06C	SPAC6F12.13C	SPBC36.06C	17596513:0018:LC|26771498:0018:HT|17596513:0004:LC
O14233	Q9P6P7	RNA14	Q9P6P7	SPAC6F12.17	SPAC644.16	SPAC6F12.17	SPAC644.16	26771498:0018:HT
O14235	Q9Y709	POF5	SKP1	SPAC6F6.02C	SPBC409.05	SPAC6F6.02C	SPBC409.05	11820777:0018:LC|15147268:0006:LC|15147268:0004:LC
O14241	O74771	ARC2	DIP1	SPAC6F6.10C	SPBC24C6.10C	SPAC6F6.10C	SPBC24C6.10C	32839613:0114:LC
O14241	P32390	ARC2	ACT2	SPAC6F6.10C	SPAC630.03	SPAC6F6.10C	SPAC630.03	32839613:0114:LC|18640983:0114:LC
O14241	P78774	ARC2	ARC1	SPAC6F6.10C	SPBC14C8.06	SPAC6F6.10C	SPBC14C8.06	32839613:0114:LC|18640983:0114:LC
O14241	Q92352	ARC2	ARC4	SPAC6F6.10C	SPAC6G9.07C	SPAC6F6.10C	SPAC6G9.07C	32839613:0114:LC|18640983:0114:LC
O14242	O14242	O14242	O14242	SPAC6F6.11C	SPAC6F6.11C	SPAC6F6.11C	SPAC6F6.11C	26771498:0018:HT
O14242	O74860	O14242	O74860	SPAC6F6.11C	SPCC18.10	SPAC6F6.11C	SPCC18.10	26771498:0018:HT
O14243	O60107	SNX4	SNX41	SPAC6F6.12	SPBC14F5.11C	SPAC6F6.12	SPBC14F5.11C	26771498:0018:HT
O14243	O60108	SNX4	CBH2	SPAC6F6.12	SPBC14F5.12C	SPAC6F6.12	SPBC14F5.12C	26771498:0018:HT
O14243	O60130	SNX4	O60130	SPAC6F6.12	SPBC16G5.16	SPAC6F6.12	SPBC16G5.16	26771498:0018:HT
O14243	O94619	SNX4	ADN2	SPAC6F6.12	SPBC1289.10C	SPAC6F6.12	SPBC1289.10C	26771498:0018:HT
O14243	O94687	SNX4	TAS3	SPAC6F6.12	SPBC83.03C	SPAC6F6.12	SPBC83.03C	26771498:0018:HT
O14248	O14248	TEA3	TEA3	SPAC6G10.02C	SPAC6G10.02C	SPAC6G10.02C	SPAC6G10.02C	26771498:0018:HT
O14248	O14261	TEA3	TAF1	SPAC6G10.02C	SPAC7D4.04	SPAC6G10.02C	SPAC7D4.04	26771498:0018:HT
O14248	O36021	TEA3	O36021	SPAC6G10.02C	SPAC4F10.09C	SPAC6G10.02C	SPAC4F10.09C	26771498:0018:HT
O14248	O42709	TEA3	MCM10	SPAC6G10.02C	SPBC1347.10	SPAC6G10.02C	SPBC1347.10	26771498:0018:HT
O14248	O42869	TEA3	O42869	SPAC6G10.02C	SPAC3G9.05	SPAC6G10.02C	SPAC3G9.05	26771498:0018:HT
O14248	O59737	TEA3	GYP1	SPAC6G10.02C	SPBC530.01	SPAC6G10.02C	SPBC530.01	26771498:0018:HT
O14248	O59793	TEA3	BIS1	SPAC6G10.02C	SPCC364.02C	SPAC6G10.02C	SPCC364.02C	26771498:0018:HT
O14248	O60130	TEA3	O60130	SPAC6G10.02C	SPBC16G5.16	SPAC6G10.02C	SPBC16G5.16	26771498:0018:HT
O14248	O60141	TEA3	SAF4	SPAC6G10.02C	SPBC18H10.10C	SPAC6G10.02C	SPBC18H10.10C	26771498:0018:HT
O14248	O74349	TEA3	RKR1	SPAC6G10.02C	SPBC21D10.09C	SPAC6G10.02C	SPBC21D10.09C	26771498:0018:HT
O14248	O94318	TEA3	VPS20	SPAC6G10.02C	SPBC215.14C	SPAC6G10.02C	SPBC215.14C	26771498:0018:HT
O14248	O94332	TEA3	RRN11	SPAC6G10.02C	SPBC725.17C	SPAC6G10.02C	SPBC725.17C	26771498:0018:HT
O14248	O94441	TEA3	YPP1	SPAC6G10.02C	SPAC637.04	SPAC6G10.02C	SPAC637.04	26771498:0018:HT
O14248	O94452	TEA3	MCP1	SPAC6G10.02C	SPAC1687.10	SPAC6G10.02C	SPAC1687.10	26771498:0018:HT
O14248	O94483	TEA3	HOS3	SPAC6G10.02C	SPCC417.02	SPAC6G10.02C	SPCC417.02	26771498:0018:HT
O14248	O94494	TEA3	SIM4	SPAC6G10.02C	SPBC18E5.03C	SPAC6G10.02C	SPBC18E5.03C	26771498:0018:HT
O14248	P01129	TEA3	CDC10	SPAC6G10.02C	SPBC336.12C	SPAC6G10.02C	SPBC336.12C	26771498:0018:HT
O14248	P49373	TEA3	TFS1	SPAC6G10.02C	SPAC20H4.03C	SPAC6G10.02C	SPAC20H4.03C	26771498:0018:HT
O14248	P87127	TEA3	ATP11	SPAC6G10.02C	SPAC3A12.12	SPAC6G10.02C	SPAC3A12.12	26771498:0018:HT
O14248	Q09181	TEA3	STE13	SPAC6G10.02C	SPBC776.09	SPAC6G10.02C	SPBC776.09	26771498:0018:HT
O14248	Q09870	TEA3	Q09870	SPAC6G10.02C	SPAC12G12.06C	SPAC6G10.02C	SPAC12G12.06C	26771498:0018:HT
O14248	Q10336	TEA3	MCP6	SPAC6G10.02C	SPBC582.06C	SPAC6G10.02C	SPBC582.06C	26771498:0018:HT
O14248	Q10447	TEA3	PPK2	SPAC6G10.02C	SPAC12B10.14C	SPAC6G10.02C	SPAC12B10.14C	26771498:0018:HT
O14248	Q92349	TEA3	MUG79	SPAC6G10.02C	SPAC6G9.04	SPAC6G10.02C	SPAC6G9.04	26771498:0018:HT
O14248	Q9P3T8	TEA3	CIN2	SPAC6G10.02C	SPAC328.08C	SPAC6G10.02C	SPAC328.08C	26771498:0018:HT
O14248	Q9P7G0	TEA3	Q9P7G0	SPAC6G10.02C	SPAC1142.04	SPAC6G10.02C	SPAC1142.04	26771498:0018:HT
O14248	Q9USP9	TEA3	Q9USP9	SPAC6G10.02C	SPBC902.04	SPAC6G10.02C	SPBC902.04	26771498:0018:HT
O14248	Q9Y7J9	TEA3	MCP5	SPAC6G10.02C	SPBC216.02	SPAC6G10.02C	SPBC216.02	26771498:0018:HT
O14250	O43029	O14250	FAP1	SPAC6G10.04C	SPBC354.15	SPAC6G10.04C	SPBC354.15	26771498:0018:HT
O14250	Q10109	O14250	LEM2	SPAC6G10.04C	SPAC18G6.10	SPAC6G10.04C	SPAC18G6.10	33109728:0090:HT
O14256	O74424	O14256	NUP211	SPAC6G10.10C	SPCC162.08C	SPAC6G10.10C	SPCC162.08C	26771498:0018:HT
O14256	P78920	O14256	P78920	SPAC6G10.10C	SPBC2D10.11C	SPAC6G10.10C	SPBC2D10.11C	26771498:0018:HT
O14256	Q9P3U1	O14256	Q9P3U1	SPAC6G10.10C	SPAC328.05	SPAC6G10.10C	SPAC328.05	26771498:0018:HT
O14258	O14258	ACE2	ACE2	SPAC6G10.12C	SPAC6G10.12C	SPAC6G10.12C	SPAC6G10.12C	26771498:0018:HT
O14259	P36598	SFP47	THI1	SPAC7D4.02C	SPAC1486.10|SPAC6G10.01	SPAC7D4.02C	SPAC1486.10	26771498:0018:HT
O14261	O14261	TAF1	TAF1	SPAC7D4.04	SPAC7D4.04	SPAC7D4.04	SPAC7D4.04	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O42709	TAF1	MCM10	SPAC7D4.04	SPBC1347.10	SPAC7D4.04	SPBC1347.10	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O42869	TAF1	O42869	SPAC7D4.04	SPAC3G9.05	SPAC7D4.04	SPAC3G9.05	26771498:0018:HT
O14261	O42917	TAF1	ESO1	SPAC7D4.04	SPBC16A3.11	SPAC7D4.04	SPBC16A3.11	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O43018	TAF1	O43018	SPAC7D4.04	SPBC354.04	SPAC7D4.04	SPBC354.04	26771498:0018:HT
O14261	O59719	TAF1	O59719	SPAC7D4.04	SPBC3B8.11	SPAC7D4.04	SPBC3B8.11	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O59737	TAF1	GYP1	SPAC7D4.04	SPBC530.01	SPAC7D4.04	SPBC530.01	26771498:0018:HT
O14261	O59793	TAF1	BIS1	SPAC7D4.04	SPCC364.02C	SPAC7D4.04	SPCC364.02C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O60130	TAF1	O60130	SPAC7D4.04	SPBC16G5.16	SPAC7D4.04	SPBC16G5.16	26771498:0018:HT
O14261	O60141	TAF1	SAF4	SPAC7D4.04	SPBC18H10.10C	SPAC7D4.04	SPBC18H10.10C	26771498:0018:HT
O14261	O60150	TAF1	O60150	SPAC7D4.04	SPBC18H10.20C	SPAC7D4.04	SPBC18H10.20C	26771498:0018:HT
O14261	O74372	TAF1	DUO1	SPAC7D4.04	SPBC32F12.08C	SPAC7D4.04	SPBC32F12.08C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	O74417	TAF1	O74417	SPAC7D4.04	SPCC14G10.04	SPAC7D4.04	SPCC14G10.04	26771498:0018:HT
O14261	O74438	TAF1	MCP2	SPAC7D4.04	SPCC1682.08C	SPAC7D4.04	SPCC1682.08C	26771498:0018:HT
O14261	O74547	TAF1	BIT61	SPAC7D4.04	SPCC777.08C	SPAC7D4.04	SPCC777.08C	26771498:0018:HT
O14261	O74739	TAF1	PNG1	SPAC7D4.04	SPBC1709.14	SPAC7D4.04	SPBC1709.14	26771498:0018:HT
O14261	O74939	TAF1	O74939	SPAC7D4.04	SPCC553.01C|SPCC736.01C	SPAC7D4.04	SPCC553.01C	26771498:0018:HT
O14261	O94433	TAF1	O94433	SPAC7D4.04	SPBC660.17C	SPAC7D4.04	SPBC660.17C	26771498:0018:HT
O14261	O94687	TAF1	TAS3	SPAC7D4.04	SPBC83.03C	SPAC7D4.04	SPBC83.03C	26771498:0018:HT
O14261	O94701	TAF1	FIC1	SPAC7D4.04	SPBC83.18C	SPAC7D4.04	SPBC83.18C	26771498:0018:HT
O14261	P32235	TAF1	GTP1	SPAC7D4.04	SPBC354.01|SPBC649.06	SPAC7D4.04	SPBC354.01	26771498:0018:HT
O14261	P40371	TAF1	PTC1	SPAC7D4.04	SPCC4F11.02	SPAC7D4.04	SPCC4F11.02	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	P47979	TAF1	ZFS1	SPAC7D4.04	SPBC1718.07C	SPAC7D4.04	SPBC1718.07C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	P49373	TAF1	TFS1	SPAC7D4.04	SPAC20H4.03C	SPAC7D4.04	SPAC20H4.03C	26771498:0018:HT
O14261	P87127	TAF1	ATP11	SPAC7D4.04	SPAC3A12.12	SPAC7D4.04	SPAC3A12.12	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	Q09181	TAF1	STE13	SPAC7D4.04	SPBC776.09	SPAC7D4.04	SPBC776.09	26771498:0018:HT
O14261	Q09762	TAF1	Q09762	SPAC7D4.04	SPAC24H6.08	SPAC7D4.04	SPAC24H6.08	26771498:0018:HT
O14261	Q09811	TAF1	RQH1	SPAC7D4.04	SPAC2G11.12	SPAC7D4.04	SPAC2G11.12	26771498:0018:HT
O14261	Q09829	TAF1	Q09829	SPAC7D4.04	SPAC4G8.03C	SPAC7D4.04	SPAC4G8.03C	26771498:0018:HT
O14261	Q09870	TAF1	Q09870	SPAC7D4.04	SPAC12G12.06C	SPAC7D4.04	SPAC12G12.06C	26771498:0018:HT
O14261	Q09882	TAF1	PRP45	SPAC7D4.04	SPCC188.11|SPCC584.08	SPAC7D4.04	SPCC188.11	26771498:0018:HT
O14261	Q10186	TAF1	Q10186	SPAC7D4.04	SPAC3F10.12C	SPAC7D4.04	SPAC3F10.12C	26771498:0018:HT
O14261	Q10368	TAF1	Q10368	SPAC7D4.04	SPAC22E12.18	SPAC7D4.04	SPAC22E12.18	26771498:0018:HT
O14261	Q10451	TAF1	PPR5	SPAC7D4.04	SPAC1093.01|SPAC12B10.18	SPAC7D4.04	SPAC1093.01	26771498:0018:HT
O14261	Q10585	TAF1	SPD1	SPAC7D4.04	SPAC29B12.03	SPAC7D4.04	SPAC29B12.03	26771498:0018:HT
O14261	Q7LL22	TAF1	NSK1	SPAC7D4.04	SPAC3G9.01	SPAC7D4.04	SPAC3G9.01	26771498:0018:HT
O14261	Q8WZK3	TAF1	IBP1	SPAC7D4.04	SPBC839.07	SPAC7D4.04	SPBC839.07	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	Q92349	TAF1	MUG79	SPAC7D4.04	SPAC6G9.04	SPAC7D4.04	SPAC6G9.04	26771498:0018:HT
O14261	Q9C103	TAF1	EME1	SPAC7D4.04	SPAPB1E7.06C	SPAC7D4.04	SPAPB1E7.06C	26771498:0018:HT
O14261	Q9HE16	TAF1	Q9HE16	SPAC7D4.04	SPAC1399.05C	SPAC7D4.04	SPAC1399.05C	26771498:0018:HT
O14261	Q9HFF4	TAF1	PPK1	SPAC7D4.04	SPAC110.01|SPAC140.05	SPAC7D4.04	SPAC110.01	26771498:0018:HT
O14261	Q9P3U8	TAF1	Q9P3U8	SPAC7D4.04	SPCC548.05C	SPAC7D4.04	SPCC548.05C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14261	Q9P6R8	TAF1	CWF24	SPAC7D4.04	SPBC13E7.02	SPAC7D4.04	SPBC13E7.02	26771498:0018:HT
O14261	Q9P7B3	TAF1	Q9P7B3	SPAC7D4.04	SPAC521.04C	SPAC7D4.04	SPAC521.04C	26771498:0018:HT
O14261	Q9P7Q4	TAF1	SEC18	SPAC7D4.04	SPAC1834.11C	SPAC7D4.04	SPAC1834.11C	26771498:0018:HT
O14261	Q9URT4	TAF1	AMS2	SPAC7D4.04	SPCC290.04|SPCC4F11.01	SPAC7D4.04	SPCC290.04	26771498:0018:HT
O14261	Q9USW9	TAF1	SGF29	SPAC7D4.04	SPBC1921.07C|SPBC21D10.13	SPAC7D4.04	SPBC1921.07C	26771498:0018:HT
O14261	Q9UT46	TAF1	MOC3	SPAC7D4.04	SPAC821.07C	SPAC7D4.04	SPAC821.07C	26771498:0018:HT
O14261	Q9UTB4	TAF1	MSS51	SPAC7D4.04	SPAC25B8.04C	SPAC7D4.04	SPAC25B8.04C	26771498:0018:HT
O14261	Q9UTK6	TAF1	Q9UTK6	SPAC7D4.04	SPAC1486.03C	SPAC7D4.04	SPAC1486.03C	26771498:0018:HT
O14261	Q9Y7T4	TAF1	ATG1	SPAC7D4.04	SPCC63.08C	SPAC7D4.04	SPCC63.08C	26771498:0018:HT
O14269	Q9UTR8	O14269	RED1	SPAC7D4.14C	SPAC1006.03C	SPAC7D4.14C	SPAC1006.03C	23980030:0018:LC|24210919:0004:LC|26771498:0018:HT|24210919:0007:LC
O14277	O60131	RPS5	O60131	SPAC8C9.08	SPBC16G5.17	SPAC8C9.08	SPBC16G5.17	26771498:0018:HT
O14277	P78920	RPS5	P78920	SPAC8C9.08	SPBC2D10.11C	SPAC8C9.08	SPBC2D10.11C	26771498:0018:HT
O14283	O74417	PRR1	O74417	SPAC8C9.14	SPCC14G10.04	SPAC8C9.14	SPCC14G10.04	26771498:0018:HT
O14283	Q10237	PRR1	Q10237	SPAC8C9.14	SPAC4G9.04C	SPAC8C9.14	SPAC4G9.04C	26771498:0018:HT
O14284	P50521	OXR1	HXK2	SPAC8C9.16C	SPAC4F8.07C	SPAC8C9.16C	SPAC4F8.07C	26771498:0090:HT|26771498:0018:HT
O14285	O14285	SPC34	SPC34	SPAC8C9.17C	SPAC8C9.17C	SPAC8C9.17C	SPAC8C9.17C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14285	Q9HDZ6	SPC34	DAM1	SPAC8C9.17C	SPAC589.08C	SPAC8C9.17C	SPAC589.08C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14289	Q9P7D3	LEU2	Q9P7D3	SPAC9E9.03	SPBP4H10.16C	SPAC9E9.03	SPBP4H10.16C	26771498:0018:HT
O14299	O14299	WIS4	WIS4	SPAC9G1.02	SPAC9G1.02	SPAC9G1.02	SPAC9G1.02	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14299	O94321	WIS4	MPR1	SPAC9G1.02	SPBC725.02	SPAC9G1.02	SPBC725.02	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O14299	P33886	WIS4	WIS1	SPAC9G1.02	SPBC409.07C	SPAC9G1.02	SPBC409.07C	9718372:0415:LC|9321395:0415:LC
O14299	P50530	WIS4	SCK1	SPAC9G1.02	SPAC1B9.02C	SPAC9G1.02	SPAC1B9.02C	26771498:0018:HT
O14299	P87323	WIS4	MCS4	SPAC9G1.02	SPBC887.10	SPAC9G1.02	SPBC887.10	23695164:0018:HT|23695164:0397:HT|26771498:0018:HT
O14301	Q9UT49	O14301	CID13	SPAC9G1.05	SPAC821.04C	SPAC9G1.05	SPAC821.04C	26771498:0018:HT
O14302	Q09763	CYK3	GEF1	SPAC9G1.06C	SPAC24H6.09	SPAC9G1.06C	SPAC24H6.09	26771498:0018:HT
O14308	Q10319	SWC4	YAF9	SPAC9G1.13C	SPAC17G8.07	SPAC9G1.13C	SPAC17G8.07	26771498:0018:HT
O14318	O74790	PHP4	GRX4	SPBC16E9.01C|SPBP16F5.09C	SPBC26H8.06	SPBC16E9.01C	SPBC26H8.06	23695164:0018:HT|22523368:0018:LC|19502236:0090:LC|23695164:0397:HT|26771498:0018:HT|19502236:0018:LC
O14318	Q09750	PHP4	PST1	SPBC16E9.01C|SPBP16F5.09C	SPBC12C2.10C|SPBC21D10.01C	SPBC16E9.01C	SPBC12C2.10C	26771498:0018:HT
O14325	O14325	O14325	O14325	SPBC16E9.10C	SPBC16E9.10C	SPBC16E9.10C	SPBC16E9.10C	26771498:0018:HT
O14325	O60058	O14325	AFG2	SPBC16E9.10C	SPBC56F2.07C	SPBC16E9.10C	SPBC56F2.07C	26771498:0018:HT
O14325	O94362	O14325	O94362	SPBC16E9.10C	SPBC428.15	SPBC16E9.10C	SPBC428.15	26771498:0018:HT
O14325	P49373	O14325	TFS1	SPBC16E9.10C	SPAC20H4.03C	SPBC16E9.10C	SPAC20H4.03C	26771498:0018:HT
O14326	O60150	PUB3	O60150	SPBC16E9.11C	SPBC18H10.20C	SPBC16E9.11C	SPBC18H10.20C	26771498:0018:HT
O14326	O94274	PUB3	O94274	SPBC16E9.11C	SPBP8B7.26	SPBC16E9.11C	SPBP8B7.26	26771498:0018:HT
O14326	O94425	PUB3	O94425	SPBC16E9.11C	SPBC660.05	SPBC16E9.11C	SPBC660.05	26771498:0018:HT
O14326	P0C016	PUB3	UBI3	SPBC16E9.11C	SPAC6G10.11C	SPBC16E9.11C	SPAC6G10.11C	26771498:0018:HT
O14326	P0C8R3	PUB3	UBI5	SPBC16E9.11C	SPAC589.10C	SPBC16E9.11C	SPAC589.10C	26771498:0018:HT
O14326	P0CH07	PUB3	UEP1	SPBC16E9.11C	SPAC1805.12C	SPBC16E9.11C	SPAC1805.12C	26771498:0018:HT
O14326	P46595	PUB3	UBC4	SPBC16E9.11C	SPBC119.02	SPBC16E9.11C	SPBC119.02	26771498:0018:HT
O14326	P87027	PUB3	SPG1	SPBC16E9.11C	SPAC1565.06C	SPBC16E9.11C	SPAC1565.06C	26771498:0018:HT
O14326	Q09181	PUB3	STE13	SPBC16E9.11C	SPBC776.09	SPBC16E9.11C	SPBC776.09	26771498:0018:HT
O14326	Q10347	PUB3	Q10347	SPBC16E9.11C	SPAC1F12.05	SPBC16E9.11C	SPAC1F12.05	26771498:0018:HT
